STATE/UT,DISTRICT,THEFT,HURT/GREVIOUS HURT,OTHER THEFT,AUTO THEFT,BURGLARY
Rajasthan,AJMER,955,314,394,561,287
Rajasthan,ALWAR,3964,3063,1071,2893,314
Rajasthan,BANSWARA,120,705,53,67,73
Rajasthan,BARAN,308,328,155,153,44
Rajasthan,BARMER,389,409,165,224,150
Rajasthan,BHARATPUR,2068,60,703,1365,91
Rajasthan,BHILWARA,689,46,312,377,197
Rajasthan,BIKANER,346,265,198,148,140
Rajasthan,BUNDI,201,646,103,98,63
Rajasthan,CHITTORGARH,440,816,203,237,156
Rajasthan,CHURU,233,427,147,86,120
Rajasthan,DAUSA,1160,34,382,778,47
Rajasthan,DHOLPUR,420,1219,216,204,50
Rajasthan,DISCOM,0,0,0,0,0
Rajasthan,DUNGARPUR,95,141,47,48,50
Rajasthan,G.R.P.AJMER,670,1,640,30,1
Rajasthan,G.R.P.JODHPUR,111,0,97,14,0
Rajasthan,GANGANAGAR,330,707,158,172,187
Rajasthan,HANUMANGARH,265,415,131,134,112
Rajasthan,JAIPUR EAST,3156,86,467,2689,461
Rajasthan,JAIPUR NORTH,907,295,247,660,130
Rajasthan,JAIPUR RURAL,702,343,423,279,181
Rajasthan,JAIPUR SOUTH,1687,112,309,1378,261
Rajasthan,JAIPUR WEST,1412,299,321,1091,386
Rajasthan,JAISALMER,108,279,75,33,40
Rajasthan,JALORE,218,6,115,103,99
Rajasthan,JHALAWAR,400,750,169,231,94
Rajasthan,JHUNJHUNU,382,591,223,159,124
Rajasthan,JODHPUR EAST,523,496,199,324,106
Rajasthan,JODHPUR RURAL,287,656,225,62,127
Rajasthan,JODHPUR WEST,704,364,216,488,198
Rajasthan,KARAULI,846,0,295,551,32
Rajasthan,KOTA CITY,840,84,228,612,112
Rajasthan,KOTA RURAL,169,159,85,84,61
Rajasthan,NAGAUR,427,91,238,189,199
Rajasthan,PALI,410,217,210,200,236
Rajasthan,PRATAPGARH,137,638,87,50,47
Rajasthan,RAJSAMAND,183,534,88,95,76
Rajasthan,SAWAI MADHOPUR,640,0,186,454,43
Rajasthan,SIKAR,779,188,449,330,250
Rajasthan,SIROHI,119,386,62,57,65
Rajasthan,TONK,285,1204,151,134,106
Rajasthan,UDAIPUR,843,1381,399,444,267
SIKKIM,EAST,574,373,506,68,503
SIKKIM,NORTH,53,63,52,1,36
SIKKIM,SOUTH,262,293,245,17,239
SIKKIM,WEST,130,210,122,8,99
Sikkim,EAST,80,45,71,9,53
Sikkim,NORTH,5,7,3,2,2
Sikkim,SOUTH,32,47,28,4,20
Sikkim,WEST,5,23,3,2,10
TAMIL NADU,ARIYALUR,517,1544,306,211,192
TAMIL NADU,CHENGAI,4301,3442,3324,977,1855
TAMIL NADU,CHENNAI,29379,11699,23944,5435,6543
TAMIL NADU,CHENNAI RLY.,2265,348,2226,39,18
TAMIL NADU,CHENNAISUBURBAN,2152,1874,1715,437,903
TAMIL NADU,COIMBATORE RURAL,10673,13866,6789,3884,2861
TAMIL NADU,COIMBATORE URBAN,10784,2583,6847,3937,1773
TAMIL NADU,CUDDALORE,5424,10813,3682,1742,1382
TAMIL NADU,DHARMAPURI,2675,11529,1575,1100,1022
TAMIL NADU,DINDIGUL,4735,5556,3609,1126,1217
TAMIL NADU,ERODE,6742,15755,4479,2263,1707
TAMIL NADU,KANCHIPURAM,4900,5184,3817,1083,1568
TAMIL NADU,KANYAKUMARI,3624,7242,2940,684,2110
TAMIL NADU,KARUR,2814,2953,1746,1068,532
TAMIL NADU,KRISHNAGIRI,2555,5892,1241,1314,811
TAMIL NADU,MADURAI RURAL,4285,11095,3445,840,1511
TAMIL NADU,MADURAI URBAN,6235,1979,4197,2038,1156
TAMIL NADU,NAGAPATTINAM,2873,9575,2173,700,827
TAMIL NADU,NAMAKKAL,2611,10465,1540,1071,690
TAMIL NADU,NILGIRIS,1220,2561,1034,186,894
TAMIL NADU,PERAMBALUR,1809,4537,1061,748,562
TAMIL NADU,PUDUKOTTAI,2558,3512,1859,699,802
TAMIL NADU,RAMNATHAPURAM,2320,5515,1965,355,914
TAMIL NADU,SALEM RURAL,2828,21864,2050,778,1043
TAMIL NADU,SALEM URBAN,3513,2967,1975,1538,557
TAMIL NADU,SIVAGANGAI,2925,4049,2355,570,1099
TAMIL NADU,THANJAVUR,6953,9150,4702,2251,2111
TAMIL NADU,THENI,3005,7300,2377,628,1104
TAMIL NADU,THIRUNELVELI RURAL,5210,11797,4617,593,2190
TAMIL NADU,THIRUNELVELI URBAN,2164,1176,1706,458,511
TAMIL NADU,THIRUVALLUR,2302,7392,1955,347,941
TAMIL NADU,THIRUVANNAMALAI,3530,8613,2722,808,1130
TAMIL NADU,THIRUVARUR,2193,8384,1671,522,891
TAMIL NADU,THOOTHUGUDI,5379,7145,4534,845,2053
TAMIL NADU,TIRUPPUR,3086,2013,1681,1405,993
TAMIL NADU,TRICHY RLY.,744,172,736,8,18
TAMIL NADU,TRICHY RURAL,2380,6555,1570,810,783
TAMIL NADU,TRICHY URBAN,5202,2301,3922,1280,805
TAMIL NADU,VELLORE,6821,14838,4436,2385,2318
TAMIL NADU,VILLUPURAM,4378,8886,2572,1806,1400
TAMIL NADU,VILUPPURAM,306,468,255,51,102
TAMIL NADU,VIRUDHUNAGAR,4790,6084,4157,633,1440
TRIPURA,DHALAI,316,828,300,16,246
TRIPURA,G.R.P.,3,1,3,0,1
TRIPURA,GOMATI,132,321,94,38,28
TRIPURA,GRP,8,3,8,0,0
TRIPURA,KHOWAI,33,131,26,7,18
TRIPURA,NORTH,811,1702,743,68,423
TRIPURA,SIPAHIJALA,84,250,67,17,37
TRIPURA,SOUTH,1108,2421,999,109,567
TRIPURA,UNAKOTI,45,159,43,2,5
TRIPURA,WEST,2083,3490,1731,352,1079
Tamil Nadu,ARIYALUR,97,295,69,28,42
Tamil Nadu,CHENNAI,1664,1213,1372,292,467
Tamil Nadu,CHENNAI RLY.,268,27,266,2,2
Tamil Nadu,COIMBATORE RURAL,379,510,271,108,160
Tamil Nadu,COIMBATORE URBAN,407,230,280,127,122
Tamil Nadu,CUDDALORE,513,1028,311,202,149
Tamil Nadu,DHARMAPURI,231,1308,115,116,124
Tamil Nadu,DINDIGUL,198,543,123,75,105
Tamil Nadu,ERODE,267,386,144,123,146
Tamil Nadu,KANCHIPURAM,603,572,396,207,230
Tamil Nadu,KANYAKUMARI,249,567,175,74,159
Tamil Nadu,KARUR,126,143,77,49,43
Tamil Nadu,KRISHNAGIRI,190,731,116,74,125
Tamil Nadu,MADURAI RURAL,687,767,511,176,313
Tamil Nadu,MADURAI URBAN,425,198,205,220,57
Tamil Nadu,NAGAPATTINAM,270,518,195,75,79
Tamil Nadu,NAMAKKAL,156,487,101,55,107
Tamil Nadu,NILGIRIS,45,203,35,10,53
Tamil Nadu,PERAMBALUR,72,149,45,27,40
Tamil Nadu,PUDUKOTTAI,110,274,74,36,44
Tamil Nadu,RAMNATHAPURAM,127,452,102,25,115
Tamil Nadu,SALEM RURAL,157,1444,110,47,104
Tamil Nadu,SALEM URBAN,122,329,56,66,67
Tamil Nadu,SIVAGANGAI,220,349,165,55,126
Tamil Nadu,THANJAVUR,423,820,208,215,165
Tamil Nadu,THENI,253,657,193,60,110
Tamil Nadu,THIRUNELVELI RURAL,265,973,214,51,220
Tamil Nadu,THIRUNELVELI URBAN,154,169,102,52,90
Tamil Nadu,THIRUVALLUR,228,392,157,71,151
Tamil Nadu,THIRUVANNAMALAI,250,613,184,66,121
Tamil Nadu,THIRUVARUR,190,428,151,39,90
Tamil Nadu,THOOTHUGUDI,284,644,192,92,214
Tamil Nadu,TIRUPPUR,462,581,274,188,243
Tamil Nadu,TRICHY RLY.,91,15,91,0,5
Tamil Nadu,TRICHY RURAL,146,332,96,50,64
Tamil Nadu,TRICHY URBAN,233,162,190,43,44
Tamil Nadu,VELLORE,663,918,352,311,297
Tamil Nadu,VILLUPURAM,481,1084,198,283,194
Tamil Nadu,VIRUDHUNAGAR,244,473,186,58,138
Tripura,DHALAI,29,78,22,7,19
Tripura,GOMATI,95,299,54,41,35
Tripura,GRP,5,5,5,0,0
Tripura,KHOWAI,34,92,22,12,21
Tripura,NORTH,42,121,33,9,23
Tripura,SIPAHIJALA,78,262,78,0,44
Tripura,SOUTH,38,185,38,0,20
Tripura,UNAKOTI,37,125,29,8,9
Tripura,WEST,175,318,116,59,52
UTTAR PRADESH,AGRA,20725,5381,6412,14313,3063
UTTAR PRADESH,ALIGARH,10393,3756,5443,4950,1875
UTTAR PRADESH,ALLAHABAD,9178,5073,4185,4993,2861
UTTAR PRADESH,AMBEDKAR NAGAR,1343,1911,965,378,508
UTTAR PRADESH,AURAIYA,1044,1526,592,452,292
UTTAR PRADESH,AZAMGARH,2082,3354,1278,804,982
UTTAR PRADESH,BADAUN,2345,3487,1873,472,686
UTTAR PRADESH,BAGHPAT,2009,1111,1211,798,420
UTTAR PRADESH,BAHRAICH,1763,1965,1235,528,797
UTTAR PRADESH,BALLIA,1549,1926,941,608,773
UTTAR PRADESH,BALRAMPUR,562,722,383,179,271
UTTAR PRADESH,BANDA,1220,1158,936,284,669
UTTAR PRADESH,BARABANKI,2487,2993,1912,575,993
UTTAR PRADESH,BAREILLY,7023,4640,4329,2694,1662
UTTAR PRADESH,BASTI,1220,1542,785,435,467
UTTAR PRADESH,BHIM NAGAR,475,152,287,188,156
UTTAR PRADESH,BIJNOR,2934,3313,2058,876,653
UTTAR PRADESH,BULANDSHAHAR,4610,2073,2934,1676,853
UTTAR PRADESH,CHANDOLI,873,1297,530,343,366
UTTAR PRADESH,CHITRAKOOT DHAM,523,426,365,158,348
UTTAR PRADESH,CSM NAGAR,329,599,183,146,142
UTTAR PRADESH,DEORIA,1190,1608,705,485,588
UTTAR PRADESH,ETAH,2997,3040,1702,1295,699
UTTAR PRADESH,ETAWAH,2170,1493,939,1231,540
UTTAR PRADESH,FAIZABAD,2296,2211,1500,796,847
UTTAR PRADESH,FATEHGARH,1431,1253,780,651,471
UTTAR PRADESH,FATEHPUR,1250,2370,786,464,568
UTTAR PRADESH,FIROZABAD,4329,3403,1948,2381,755
UTTAR PRADESH,G.R.P.,23660,110,22730,930,20
UTTAR PRADESH,GAUTAMBUDH NAGAR,18613,407,6488,12125,1294
UTTAR PRADESH,GHAZIABAD,23938,731,7163,16775,2237
UTTAR PRADESH,GHAZIPUR,1251,1695,778,473,576
UTTAR PRADESH,GONDA,1851,2577,1194,657,959
UTTAR PRADESH,GORAKHPUR,6641,3778,2457,4184,1887
UTTAR PRADESH,HAMIRPUR,645,463,527,118,279
UTTAR PRADESH,HARDOI,2280,3663,1792,488,596
UTTAR PRADESH,HATHRAS,2501,1764,1592,909,641
UTTAR PRADESH,J.P.NAGAR,1718,877,1041,677,477
UTTAR PRADESH,JALAUN,1256,101,737,519,383
UTTAR PRADESH,JAUNPUR,1833,3581,1120,713,737
UTTAR PRADESH,JHANSI,2358,987,1097,1261,677
UTTAR PRADESH,KANNAUJ,982,301,673,309,331
UTTAR PRADESH,KANPUR DEHAT,1133,2238,969,164,313
UTTAR PRADESH,KANPUR NAGAR,13894,5567,4482,9412,2849
UTTAR PRADESH,KANSHIRAM NAGAR,460,469,243,217,117
UTTAR PRADESH,KAUSHAMBI,949,1388,778,171,682
UTTAR PRADESH,KHIRI,3477,4333,2309,1168,793
UTTAR PRADESH,KUSHI NAGAR,1071,2063,677,394,407
UTTAR PRADESH,LALITPUR,564,534,391,173,247
UTTAR PRADESH,LUCKNOW,28816,793,13919,14897,6663
UTTAR PRADESH,MAHARAJGANJ,567,938,379,188,338
UTTAR PRADESH,MAHOBA,598,337,416,182,363
UTTAR PRADESH,MAINPURI,2414,2380,1224,1190,604
UTTAR PRADESH,MATHURA,6567,1785,2617,3950,903
UTTAR PRADESH,MAU,1378,1437,875,503,718
UTTAR PRADESH,MEERUT,15742,689,6578,9164,2255
UTTAR PRADESH,MIRZAPUR,1208,1401,830,378,474
UTTAR PRADESH,MORADABAD,7696,1086,4349,3347,1474
UTTAR PRADESH,MUZAFFARNAGAR,6645,261,3764,2881,1147
UTTAR PRADESH,PANCHSHIL NAGAR,719,57,280,439,91
UTTAR PRADESH,PILIBHIT,1450,75,1089,361,371
UTTAR PRADESH,PRABUDDH NAGAR,376,13,185,191,46
UTTAR PRADESH,PRATAPGARH,1962,3558,1268,694,1007
UTTAR PRADESH,RAIBAREILLY,2327,3099,1807,520,806
UTTAR PRADESH,RAMABAI NAGAR,309,741,187,122,60
UTTAR PRADESH,RAMPUR,3359,355,2364,995,742
UTTAR PRADESH,SAHARANPUR,4646,385,2640,2006,712
UTTAR PRADESH,SANT KABIRNAGAR,610,1333,407,203,268
UTTAR PRADESH,SHAHJAHANPUR,2763,2381,1991,772,705
UTTAR PRADESH,SHRAWASTI,587,1145,532,55,307
UTTAR PRADESH,SIDHARTHNAGAR,892,761,558,334,471
UTTAR PRADESH,SITAPUR,5218,3155,4321,897,1356
UTTAR PRADESH,SONBHADRA,846,1073,541,305,380
UTTAR PRADESH,ST.RAVIDASNAGAR,718,807,442,276,335
UTTAR PRADESH,SULTANPUR,2603,3071,1682,921,1080
UTTAR PRADESH,UNNAO,2243,2672,1618,625,692
UTTAR PRADESH,VARANASI,7363,2552,2498,4865,1412
UTTARAKHAND,ALMORA,425,351,401,24,216
UTTARAKHAND,BAGESHWAR,124,89,120,4,64
UTTARAKHAND,CHAMOLI,204,189,188,16,260
UTTARAKHAND,CHAMPAWAT,148,189,119,29,73
UTTARAKHAND,DEHRADUN,5234,2325,3142,2092,1519
UTTARAKHAND,HARIDWAR,5810,4355,3409,2401,950
UTTARAKHAND,NAINITAL,1984,672,1313,671,539
UTTARAKHAND,PAURI GARHWAL,605,617,471,134,406
UTTARAKHAND,PITHORAGARH,252,227,236,16,221
UTTARAKHAND,RUDRA PRAYAG,126,118,119,7,154
UTTARAKHAND,TEHRI GARHWAL,309,189,260,49,190
UTTARAKHAND,UDHAMSINGH NAGAR,4558,1234,2629,1929,823
UTTARAKHAND,UTTARKASHI,256,55,236,20,163
Uttar Pradesh,AGRA,3015,299,650,2365,342
Uttar Pradesh,ALIGARH,1969,278,597,1372,315
Uttar Pradesh,ALLAHABAD,1625,409,504,1121,356
Uttar Pradesh,AMBEDKAR NAGAR,90,116,56,34,23
Uttar Pradesh,AMETHI,142,211,77,65,61
Uttar Pradesh,AMROHA,279,117,167,112,55
Uttar Pradesh,AURAIYA,180,49,70,110,25
Uttar Pradesh,AZAMGARH,272,333,129,143,86
Uttar Pradesh,BADAUN,245,398,127,118,50
Uttar Pradesh,BAGHPAT,296,87,148,148,53
Uttar Pradesh,BAHRAICH,271,179,159,112,61
Uttar Pradesh,BALLIA,263,178,111,152,109
Uttar Pradesh,BALRAMPUR,48,58,37,11,37
Uttar Pradesh,BANDA,249,39,141,108,84
Uttar Pradesh,BARABANKI,158,320,77,81,57
Uttar Pradesh,BAREILLY,773,228,356,417,141
Uttar Pradesh,BASTI,134,194,70,64,36
Uttar Pradesh,BIJNOR,405,13,256,149,86
Uttar Pradesh,BULANDSHAHAR,828,14,352,476,109
Uttar Pradesh,CHANDOLI,102,168,57,45,31
Uttar Pradesh,CHITRAKOOT DHAM,81,11,41,40,42
Uttar Pradesh,DEORIA,214,217,97,117,100
Uttar Pradesh,ETAH,345,279,160,185,47
Uttar Pradesh,ETAWAH,345,156,72,273,55
Uttar Pradesh,FAIZABAD,264,193,132,132,83
Uttar Pradesh,FATEHGARH,239,125,76,163,59
Uttar Pradesh,FATEHPUR,154,273,73,81,49
Uttar Pradesh,FIROZABAD,699,316,224,475,88
Uttar Pradesh,G.R.P.,3043,20,2916,127,1
Uttar Pradesh,GAUTAMBUDH NAGAR,3313,15,1102,2211,228
Uttar Pradesh,GHAZIABAD,3073,91,747,2326,222
Uttar Pradesh,GHAZIPUR,180,223,82,98,52
Uttar Pradesh,GONDA,207,283,116,91,85
Uttar Pradesh,GORAKHPUR,908,402,271,637,194
Uttar Pradesh,HAMIRPUR,84,54,57,27,31
Uttar Pradesh,HAPUR,417,24,161,256,15
Uttar Pradesh,HARDOI,249,244,131,118,61
Uttar Pradesh,HATHRAS,405,131,172,233,39
Uttar Pradesh,JALAUN,127,143,52,75,32
Uttar Pradesh,JAUNPUR,285,281,131,154,90
Uttar Pradesh,JHANSI,290,201,90,200,64
Uttar Pradesh,KANNAUJ,147,1,80,67,32
Uttar Pradesh,KANPUR DEHAT,107,253,52,55,19
Uttar Pradesh,KANPUR NAGAR,1195,228,273,922,171
Uttar Pradesh,KASGANJ,163,178,72,91,46
Uttar Pradesh,KAUSHAMBI,92,94,56,36,59
Uttar Pradesh,KHIRI,564,467,272,292,67
Uttar Pradesh,KUSHI NAGAR,168,314,60,108,48
Uttar Pradesh,LALITPUR,51,92,30,21,17
Uttar Pradesh,LUCKNOW,2613,38,908,1705,553
Uttar Pradesh,MAHARAJGANJ,99,165,56,43,25
Uttar Pradesh,MAHOBA,81,0,44,37,44
Uttar Pradesh,MAINPURI,404,204,94,310,108
Uttar Pradesh,MATHURA,1028,241,283,745,127
Uttar Pradesh,MAU,243,260,91,152,72
Uttar Pradesh,MEERUT,2740,23,802,1938,283
Uttar Pradesh,MIRZAPUR,42,85,24,18,18
Uttar Pradesh,MORADABAD,715,46,304,411,100
Uttar Pradesh,MUZAFFARNAGAR,706,187,302,404,60
Uttar Pradesh,PILIBHIT,117,173,48,69,24
Uttar Pradesh,PRATAPGARH,332,314,143,189,116
Uttar Pradesh,RAIBAREILLY,195,150,104,91,72
Uttar Pradesh,RAMPUR,312,2,180,132,42
Uttar Pradesh,SAHARANPUR,557,108,261,296,77
Uttar Pradesh,SAMBHAL,316,65,161,155,65
Uttar Pradesh,SANT KABIRNAGAR,42,134,17,25,12
Uttar Pradesh,SHAHJAHANPUR,230,220,132,98,47
Uttar Pradesh,SHAMLI,266,7,94,172,23
Uttar Pradesh,SHRAWASTI,52,162,40,12,41
Uttar Pradesh,SIDHARTHNAGAR,87,5,33,54,27
Uttar Pradesh,SITAPUR,375,143,220,155,131
Uttar Pradesh,SONBHADRA,82,116,46,36,33
Uttar Pradesh,ST.RAVIDASNAGAR,67,76,35,32,23
Uttar Pradesh,SULTANPUR,294,236,150,144,100
Uttar Pradesh,UNNAO,271,28,161,110,68
Uttar Pradesh,VARANASI,930,213,329,601,179
Uttarakhand,ALMORA,15,6,13,2,9
Uttarakhand,BAGESHWAR,6,10,6,0,12
Uttarakhand,CHAMOLI,6,12,6,0,6
Uttarakhand,CHAMPAWAT,3,33,2,1,5
Uttarakhand,DEHRADUN,394,51,204,190,59
Uttarakhand,HARIDWAR,534,519,324,210,49
Uttarakhand,NAINITAL,132,85,72,60,0
Uttarakhand,PAURI GARHWAL,49,48,34,15,15
Uttarakhand,PITHORAGARH,9,23,8,1,8
Uttarakhand,RUDRA PRAYAG,6,3,6,0,14
Uttarakhand,TEHRI GARHWAL,10,1,7,3,2
Uttarakhand,UDHAMSINGH NAGAR,428,217,161,267,62
Uttarakhand,UTTARKASHI,4,3,4,0,7
WEST BENGAL,24 PARGANAS NORTH,21986,1879,16035,5951,387
WEST BENGAL,24 PARGANAS SOUTH,18426,1864,14695,3731,556
WEST BENGAL,ASANSOL,3153,843,1949,1204,98
WEST BENGAL,BANKURA,2822,2199,2537,285,118
WEST BENGAL,BDN CP,847,0,631,216,10
WEST BENGAL,BIRBHUM,3675,2768,2845,830,173
WEST BENGAL,BKP CP,1357,143,849,508,9
WEST BENGAL,BURDWAN,6629,1709,4954,1675,247
WEST BENGAL,COOCHBEHAR,2288,1268,1785,503,118
WEST BENGAL,DAKSHIN DINAJPUR,1539,1526,1284,255,63
WEST BENGAL,DARJEELING,5760,5390,4342,1418,100
WEST BENGAL,HOOGHLY,7468,2375,5944,1524,335
WEST BENGAL,HOWRAH,6202,1898,4555,1647,259
WEST BENGAL,HOWRAH CITY,4084,690,2877,1207,76
WEST BENGAL,HOWRAH G.R.P.,5178,80,5172,6,1
WEST BENGAL,JALPAIGURI,13229,5558,11558,1671,507
WEST BENGAL,JHARGRAM,97,11,86,11,3
WEST BENGAL,KHARAGPUR G.R.P.,1326,29,1323,3,1
WEST BENGAL,KOLKATA,41317,19434,33151,8166,1434
WEST BENGAL,MALDA,4038,3357,2742,1296,143
WEST BENGAL,MIDNAPUR,581,63,473,108,39
WEST BENGAL,MURSHIDABAD,7833,18652,6224,1609,114
WEST BENGAL,NADIA,11523,14539,10285,1238,166
WEST BENGAL,PASCHIM MIDNAPUR,4596,1298,3698,898,250
WEST BENGAL,PURAB MIDNAPUR,3320,113,2599,721,156
WEST BENGAL,PURULIA,2526,205,2280,246,49
WEST BENGAL,SEALDAH G.R.P.,2981,247,2977,4,0
WEST BENGAL,SILIGURI G.R.P.,1154,0,1154,0,1
WEST BENGAL,SILIGURI_PC,849,812,484,365,3
WEST BENGAL,UTTAR DINAJPUR,3684,5202,2916,768,84
West Bengal,24 PARGANAS NORTH,1350,30,1092,258,11
West Bengal,24 PARGANAS SOUTH,1226,336,1057,169,134
West Bengal,ASANSOL,733,168,486,247,22
West Bengal,BANKURA,172,171,142,30,9
West Bengal,BDN CP,747,270,533,214,8
West Bengal,BIRBHUM,298,622,187,111,15
West Bengal,BKP CP,1325,249,905,420,2
West Bengal,BURDWAN,650,562,494,156,3
West Bengal,COOCHBEHAR,339,196,197,142,9
West Bengal,DAKSHIN DINAJPUR,240,144,193,47,0
West Bengal,DARJEELING,339,695,294,45,3
West Bengal,HOOGHLY,996,145,783,213,9
West Bengal,HOWRAH,307,709,222,85,29
West Bengal,HOWRAH CITY,1163,32,949,214,6
West Bengal,HOWRAH G.R.P.,293,0,293,0,0
West Bengal,JALPAIGURI,1251,157,1002,249,16
West Bengal,JHARGRAM,93,14,80,13,8
West Bengal,KHARAGPUR G.R.P.,142,8,141,1,0
West Bengal,KOLKATA,4910,3496,4230,680,82
West Bengal,MALDA,456,163,242,214,13
West Bengal,MURSHIDABAD,933,3728,646,287,6
West Bengal,NADIA,1288,3292,1060,228,13
West Bengal,PASCHIM MIDNAPUR,704,132,544,160,11
West Bengal,PURAB MIDNAPUR,524,20,409,115,20
West Bengal,PURULIA,226,395,178,48,2
West Bengal,SEALDAH G.R.P.,363,65,360,3,0
West Bengal,SILIGURI G.R.P.,173,0,173,0,0
West Bengal,SILIGURI_PC,1127,351,846,281,7
West Bengal,UTTAR DINAJPUR,536,2009,406,130,2
